category,symbol_id,source_dwg,library_title,retained_attributes,omitted_attributes
1.0 Wiring Methods,1-001,1.0 Wiring Methods/1-001.dwg,1.0 Wiring Methods — 1-001,,
1.0 Wiring Methods,1-002,1.0 Wiring Methods/1-002.dwg,1.0 Wiring Methods — 1-002,,
1.0 Wiring Methods,1-003,1.0 Wiring Methods/1-003.dwg,1.0 Wiring Methods — 1-003,,
1.0 Wiring Methods,1-004,1.0 Wiring Methods/1-004.dwg,1.0 Wiring Methods — 1-004,,
1.0 Wiring Methods,1-005,1.0 Wiring Methods/1-005.dwg,1.0 Wiring Methods — 1-005,,
1.0 Wiring Methods,1-006,1.0 Wiring Methods/1-006.dwg,1.0 Wiring Methods — 1-006,,
1.0 Wiring Methods,1-007,1.0 Wiring Methods/1-007.dwg,1.0 Wiring Methods — 1-007,,
1.0 Wiring Methods,1-008,1.0 Wiring Methods/1-008.dwg,1.0 Wiring Methods — 1-008,,
1.0 Wiring Methods,1-009,1.0 Wiring Methods/1-009.dwg,1.0 Wiring Methods — 1-009,,
1.0 Wiring Methods,1-010,1.0 Wiring Methods/1-010.dwg,1.0 Wiring Methods — 1-010,,
1.0 Wiring Methods,1-011,1.0 Wiring Methods/1-011.dwg,1.0 Wiring Methods — 1-011,,
1.0 Wiring Methods,1-012,1.0 Wiring Methods/1-012.dwg,1.0 Wiring Methods — 1-012,,
1.0 Wiring Methods,1-013,1.0 Wiring Methods/1-013.dwg,1.0 Wiring Methods — 1-013,,
1.0 Wiring Methods,1-014,1.0 Wiring Methods/1-014.dwg,1.0 Wiring Methods — 1-014,,
1.0 Wiring Methods,1-101,1.0 Wiring Methods/1-101.dwg,1.0 Wiring Methods — 1-101,,
1.0 Wiring Methods,1-102,1.0 Wiring Methods/1-102.dwg,1.0 Wiring Methods — 1-102,,
1.0 Wiring Methods,1-103,1.0 Wiring Methods/1-103.dwg,1.0 Wiring Methods — 1-103,,
1.0 Wiring Methods,1-104,1.0 Wiring Methods/1-104.dwg,1.0 Wiring Methods — 1-104,,
1.0 Wiring Methods,1-105,1.0 Wiring Methods/1-105.dwg,1.0 Wiring Methods — 1-105,,
1.0 Wiring Methods,1-106,1.0 Wiring Methods/1-106.dwg,1.0 Wiring Methods — 1-106,,
1.0 Wiring Methods,1-107,1.0 Wiring Methods/1-107.dwg,1.0 Wiring Methods — 1-107,,
1.0 Wiring Methods,1-108,1.0 Wiring Methods/1-108.dwg,1.0 Wiring Methods — 1-108,,
1.0 Wiring Methods,1-201,1.0 Wiring Methods/1-201.dwg,1.0 Wiring Methods — 1-201,,
1.0 Wiring Methods,1-202,1.0 Wiring Methods/1-202.dwg,1.0 Wiring Methods — 1-202,,
1.0 Wiring Methods,1-203,1.0 Wiring Methods/1-203.dwg,1.0 Wiring Methods — 1-203,,
1.0 Wiring Methods,1-204,1.0 Wiring Methods/1-204.dwg,1.0 Wiring Methods — 1-204,,
1.0 Wiring Methods,1-205,1.0 Wiring Methods/1-205.dwg,1.0 Wiring Methods — 1-205,PB=F,
1.0 Wiring Methods,1-205a,1.0 Wiring Methods/1-205a.dwg,1.0 Wiring Methods — 1-205a,,
1.0 Wiring Methods,1-206,1.0 Wiring Methods/1-206.dwg,1.0 Wiring Methods — 1-206,,
1.0 Wiring Methods,1-207,1.0 Wiring Methods/1-207.dwg,1.0 Wiring Methods — 1-207,,
1.0 Wiring Methods,1-208,1.0 Wiring Methods/1-208.dwg,1.0 Wiring Methods — 1-208,,
1.0 Wiring Methods,1-209,1.0 Wiring Methods/1-209.dwg,1.0 Wiring Methods — 1-209,,
1.0 Wiring Methods,1-210,1.0 Wiring Methods/1-210.dwg,1.0 Wiring Methods — 1-210,,
1.0 Wiring Methods,1-211,1.0 Wiring Methods/1-211.dwg,1.0 Wiring Methods — 1-211,,
1.0 Wiring Methods,1-212,1.0 Wiring Methods/1-212.dwg,1.0 Wiring Methods — 1-212,,
1.0 Wiring Methods,1-213,1.0 Wiring Methods/1-213.dwg,1.0 Wiring Methods — 1-213,,
2.0 Luminaire Fixtures,2-001,2.0 Luminaire Fixtures/2-001.dwg,2.0 Luminaire Fixtures — 2-001,,
2.0 Luminaire Fixtures,2-002,2.0 Luminaire Fixtures/2-002.dwg,2.0 Luminaire Fixtures — 2-002,,
2.0 Luminaire Fixtures,2-003,2.0 Luminaire Fixtures/2-003.dwg,2.0 Luminaire Fixtures — 2-003,,
